province,road_density,area_sqkm,total_population,total_issues,road_type,distance
ปัตตานี,1.986819587628866,1940,737077,43083,Concrete Road,1373.15
พระนครศรีอยุธยา,1.8200351974970668,2557,822106,15912,Concrete Road,2315.0
พะเยา,0.7477671125098349,6355,458287,21704,Concrete Road,1636.85
พังงา,0.6049892112203308,4171,267057,13645,Concrete Road,1057.72
พัทลุง,1.7953066588785047,3424,520598,12454,Concrete Road,1504.89
พิจิตร,1.8008474950342088,4531,521907,25297,Concrete Road,2579.57
พิษณุโลก,0.947922522189349,10816,841729,22143,Concrete Road,3034.31
ภูเก็ต,1.64097605893186,543,423599,13158,Concrete Road,332.63
มหาสารคาม,1.8313303099017384,5292,937915,14883,Concrete Road,3357.7
มุกดาหาร,1.1798594470046084,4340,351595,19608,Concrete Road,1283.0
ยะลา,0.7815925680159257,4521,549946,18177,Concrete Road,1189.21
ระนอง,0.5200303214069133,3298,193371,7539,Concrete Road,549.82
ร้อยเอ็ด,2.010080732618388,8299,1284836,25325,Concrete Road,5293.63
ลพบุรี,1.197158064516129,6200,729697,27204,Concrete Road,2060.95
ลำปาง,0.5582216371469603,12534,711478,33136,Concrete Road,2504.52
ลำพูน,0.9441167332445628,4506,398440,49385,Concrete Road,1706.73
สกลนคร,1.5581969602331878,9606,1142657,47864,Concrete Road,4060.54
สงขลา,1.4116567487151743,7394,1431959,40996,Concrete Road,2736.89
สตูล,0.9306857603872528,2479,325470,26250,Concrete Road,677.69
สมุทรปราการ,1.5714641434262948,1004,1372970,14783,Concrete Road,1338.63
สมุทรสงคราม,2.048177458033573,417,187993,894,Concrete Road,156.23
สมุทรสาคร,1.891594036697248,872,592033,3041,Concrete Road,930.76
สระบุรี,1.2957074944071587,3576,638826,30348,Concrete Road,2043.29
สิงห์บุรี,2.498917274939173,822,201439,6105,Concrete Road,1043.07
สุราษฎร์ธานี,0.9226638740206344,12891,1075788,49491,Concrete Road,2827.32
สุโขทัย,1.2989296543359612,6596,577866,36805,Concrete Road,1938.23
หนองคาย,1.322504129501156,3027,514021,18863,Concrete Road,1393.28
อำนาจเจริญ,1.359534957291996,3161,374137,5893,Concrete Road,879.79
อุตรดิตถ์,0.7573657354254368,7839,439629,19594,Concrete Road,1707.76
อุทัยธานี,0.7071500742942051,6730,322273,23270,Concrete Road,1345.68
อุบลราชธานี,1.4656068593204192,15745,1869608,39096,Concrete Road,5925.91
อ่างทอง,2.7260537190082648,968,270726,24223,Concrete Road,1520.36
เชียงราย,0.921460010275732,11678,1298977,57926,Concrete Road,5242.83
เชียงใหม่,0.7145894464614313,20107,1797075,80054,Concrete Road,5181.83
เพชรบุรี,0.6520112449799197,6225,483668,2128,Concrete Road,1543.55
เพชรบูรณ์,0.8069158509630565,12668,967421,45589,Concrete Road,3346.18
เลย,0.8212323851203501,11425,635142,15291,Concrete Road,1900.27
แพร่,0.6625462608961615,6539,426331,18532,Concrete Road,1402.12
แม่ฮ่องสอน,0.3453757590095418,12681,287644,17602,Concrete Road,1228.91
