district,chronic_diseases_count,disability_characteristics_count,child_youth_welfare_count,disability_welfare_count,women_welfare_count,elderly_welfare_count,homeless_welfare_count,other_welfare_count,housing_issues_count,health_issues_count,education_issues_count,employment_income_issues_count,family_issues_count,violence_issues_count,human_trafficking_issues_count,social_justice_access_issues_count,other_social_issues_count
เทศบาลตำบลคุ้งสำเภา,1,0,7,5,3,7,3,11,0,1,0,33,6,0,0,3,0
เทศบาลตำบลคูเต่า,0,33,368,38,1,13,0,152,3,0,0,174,279,0,0,52,0
เทศบาลตำบลงิม,24,35,20,27,7,75,0,50,11,3,8,117,30,0,0,6,0
เทศบาลตำบลจตุรพักตรพิมาน,0,0,0,0,0,0,0,0,0,0,10,15,0,0,0,0,0
เทศบาลตำบลจริม,278,102,243,96,1,385,38,661,95,84,59,915,604,0,0,18,4
เทศบาลตำบลจอมทอง,7,2,23,2,2,7,1,10,16,8,1,50,25,0,0,0,1
เทศบาลตำบลจะนะ,0,3,1,4,16,1,0,3,1,0,0,21,2,0,0,1,0
เทศบาลตำบลจัตุรัส,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
เทศบาลตำบลจันจว้า,39,12,111,9,37,69,0,65,27,33,18,473,127,0,0,0,0
เทศบาลตำบลจันดี,13,3,73,0,1,6,1,192,0,2,0,211,9,0,0,0,0
เทศบาลตำบลจันดุม,0,0,4,0,0,0,0,0,0,0,0,94,98,0,0,0,0
เทศบาลตำบลจุน,132,60,27,60,1,183,7,148,142,113,58,630,539,0,0,39,0
เทศบาลตำบลจุมจัง,11,14,99,15,0,32,0,88,16,10,3,406,189,0,0,2,0
เทศบาลตำบลฉลุง,16,0,9,0,0,22,4,9,2,4,3,39,19,0,0,3,0
เทศบาลตำบลฉวาง,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0
เทศบาลตำบลชนแดน,1,1,0,2,0,1,0,2,0,0,0,3,4,0,0,0,0
เทศบาลตำบลชมภู,1,1,60,0,1,1,0,13,3,1,0,50,31,0,0,1,0
เทศบาลตำบลชะรัด,41,39,238,24,22,83,69,22,38,11,17,205,359,0,0,1,0
เทศบาลตำบลชัยนาท,57,6,31,2,24,31,19,79,36,3,1,128,35,0,0,17,0
เทศบาลตำบลชากไทย,1,0,0,0,0,1,0,1,0,0,0,2,2,0,0,0,0
เทศบาลตำบลชานุมาน,0,0,0,0,0,0,1,0,7,3,10,38,35,0,0,0,0
เทศบาลตำบลชุมพล,2,2,11,2,1,11,12,5,3,2,1,9,20,0,0,1,0
เทศบาลตำบลช่องลม,3,6,10,2,0,3,0,2,9,0,5,30,45,0,0,22,0
เทศบาลตำบลช่องเม็ก,1,1,0,1,0,1,0,18,6,10,2,30,11,0,0,283,0
เทศบาลตำบลช่องแค,0,0,26,0,0,0,0,0,0,0,0,85,0,0,0,0,0
เทศบาลตำบลช่อแฮ,0,0,33,0,0,0,0,0,21,23,14,168,24,0,0,2,6
เทศบาลตำบลช้างซ้าย,1,12,378,14,13,230,3,96,2,0,11,708,44,0,0,0,0
เทศบาลตำบลช้างเผือก,2,0,18,0,0,4,1,6,11,2,1,44,17,0,0,2,0
เทศบาลตำบลซับสมอทอด,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0
เทศบาลตำบลดงขุย,2,3,3,2,0,7,0,9,15,1,2,93,66,0,0,0,1
เทศบาลตำบลดงป่าคำ,10,2,7,3,9,35,0,24,29,1,0,15,18,0,0,0,0
เทศบาลตำบลดงมะไฟ,6,1,0,1,0,0,12,15,10,7,0,28,12,0,0,1,0
เทศบาลตำบลดงเจน,44,23,15,15,0,152,0,138,4,6,0,119,74,0,0,5,0
เทศบาลตำบลดงเย็น,1,14,669,19,9,50,21,238,6,1,24,488,147,0,0,0,0
เทศบาลตำบลดงแดง,24,6,85,7,12,88,0,103,20,10,25,234,121,0,0,22,65
เทศบาลตำบลดอนฉิมพลี,0,0,1,0,0,0,0,0,0,0,0,5,5,0,0,0,0
เทศบาลตำบลดอนตาล,0,5,124,7,5,25,7,35,5,1,17,93,59,0,0,0,0
เทศบาลตำบลดอนพุด,13,11,31,6,0,25,1,23,27,11,1,57,42,0,0,0,0
เทศบาลตำบลดอนยายหอม,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
เทศบาลตำบลดอนหญ้านาง,35,12,30,15,18,51,60,143,20,16,14,223,52,0,0,7,1
เทศบาลตำบลดอนเกาะกา,3,1,27,0,0,0,0,1,4,0,1,65,203,0,0,17,0
เทศบาลตำบลดอยสะเก็ด,4,0,49,0,0,6,2,18,26,4,14,118,73,0,0,4,0
เทศบาลตำบลดินดำ,42,13,36,19,63,51,23,93,1,20,15,196,11,0,0,0,0
เทศบาลตำบลดีลัง,60,11,73,8,0,41,10,53,46,16,23,166,92,0,0,2,0
เทศบาลตำบลด่านคล้า,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
เทศบาลตำบลด่านซ้าย,0,0,0,0,0,3,0,4,0,0,0,4,0,0,0,0,0
เทศบาลตำบลด่านสำโรง,0,0,82,0,0,0,0,2,54,0,6,49,169,0,0,29,0
เทศบาลตำบลตระการพืชผล,0,0,7,0,0,0,0,0,5,0,1,4,15,0,0,6,0
เทศบาลตำบลตลาดไชยา,55,14,8,10,14,173,42,38,4,52,17,170,38,0,0,10,0
เทศบาลตำบลตลุกดู่,168,44,130,52,7,119,10,121,73,91,35,292,198,0,0,0,0
เทศบาลตำบลตองโขบ,5,9,140,3,0,15,4,45,23,8,21,56,154,0,0,0,0
เทศบาลตำบลตะกาง,0,0,0,0,0,0,0,0,1,0,0,7,2,0,0,1,0
เทศบาลตำบลตะกุด,80,25,44,23,0,65,0,62,54,23,4,326,40,0,0,0,1
เทศบาลตำบลตะเคียนเตี้ย,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
เทศบาลตำบลตะโหมด,4,4,180,7,0,14,5,20,19,0,4,117,36,0,0,0,0
เทศบาลตำบลตันหยง,1,0,1,0,0,1,0,1,0,0,0,4,0,0,0,0,0
เทศบาลตำบลตาพระยา,1,0,0,0,0,2,0,3,1,1,0,28,15,0,0,1,0
เทศบาลตำบลถนนใหญ่,88,34,27,29,3,88,7,79,75,33,10,339,112,0,0,2,2
เทศบาลตำบลถอนสมอ,67,29,26,24,0,66,8,22,34,8,2,163,18,0,0,0,0
เทศบาลตำบลถาวร,1,0,2,0,0,0,0,2,0,0,0,82,290,0,0,0,0
เทศบาลตำบลทอนหงส์,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0
เทศบาลตำบลทับกฤช,0,0,0,0,0,13,0,17,0,0,0,18,0,0,0,0,0
เทศบาลตำบลทับคล้อ,2,0,8,0,0,3,0,2,0,0,1,2,2,0,0,0,0
เทศบาลตำบลทับช้าง,3,0,1,3,0,3,0,3,0,2,1,22,12,0,0,0,0
เทศบาลตำบลทับมา,0,0,15,0,2,0,0,5,5,0,0,28,0,0,0,0,0
เทศบาลตำบลทับสะแก,3,1,3,1,0,1,3,1,0,3,0,7,8,0,0,1,0
เทศบาลตำบลทัพทัน,81,35,22,42,12,86,4,56,50,33,5,91,75,0,0,0,0
เทศบาลตำบลทากาศ,32,82,87,101,1,138,7,130,55,30,44,662,403,0,0,12,0
เทศบาลตำบลทางพูน,8,2,90,3,0,8,0,9,0,0,0,189,10,0,0,0,0
เทศบาลตำบลทาสบชัย,22,13,32,13,1,46,5,29,10,6,1,205,111,0,0,0,0
เทศบาลตำบลทาสบเส้า,50,55,70,61,3,126,2,107,43,45,32,449,288,0,0,0,7
เทศบาลตำบลที่วัง,0,2,149,1,59,81,54,43,6,0,0,282,29,0,0,4,0
เทศบาลตำบลทุ่งกระเชาะ,69,34,55,39,72,229,5,244,109,16,78,365,283,0,0,95,1
เทศบาลตำบลทุ่งข้าวพวง,0,0,125,0,8,8,7,14,16,2,2,171,93,4,0,2,0
เทศบาลตำบลทุ่งควายกิน,3,0,8,0,0,1,0,1,1,0,0,22,3,0,0,0,0
เทศบาลตำบลทุ่งช้าง,2,1,0,1,0,3,0,1,3,0,0,6,0,0,0,0,0
เทศบาลตำบลทุ่งทราย,2,8,7,4,0,16,0,21,11,3,6,143,88,0,0,14,2
เทศบาลตำบลทุ่งยั้ง,58,8,1,9,0,31,2,10,2,23,0,16,7,0,0,0,0
เทศบาลตำบลทุ่งยาว,0,0,3,0,0,0,0,3,0,0,0,2,1,0,0,0,0
เทศบาลตำบลทุ่งลาน,37,4,88,7,53,32,1,71,3,3,1,129,72,0,0,1,0
เทศบาลตำบลทุ่งสะเดา,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
เทศบาลตำบลทุ่งหลวง,167,95,353,77,5,337,7,581,35,68,33,604,170,0,0,4,6
เทศบาลตำบลทุ่งหว้า,21,10,31,5,4,13,0,134,42,4,0,179,32,0,0,10,0
เทศบาลตำบลทุ่งหัวช้าง,33,19,12,19,5,61,26,82,39,36,25,256,205,0,0,0,0
เทศบาลตำบลทุ่งเสลี่ยม,3,1,4,2,2,28,0,14,25,0,1,15,10,0,0,0,0
เทศบาลตำบลทุ่งโฮ้ง,2,2,27,1,0,0,0,3,7,15,6,62,5,0,0,0,0
เทศบาลตำบลท่าขนอน,0,2,0,0,0,1,0,8,0,0,0,8,0,0,0,0,0
เทศบาลตำบลท่าขอนยาง,1,0,5,0,0,3,24,1,18,0,0,152,112,0,0,0,0
เทศบาลตำบลท่าข้าม,0,0,2,0,0,0,0,0,0,0,0,42,99,0,0,0,0
เทศบาลตำบลท่าคันโท,18,14,215,12,1,110,2,75,41,11,48,448,328,0,0,0,0
เทศบาลตำบลท่าชนะ,1,1,4,0,0,20,0,30,0,0,0,29,4,0,0,2,0
เทศบาลตำบลท่าช้าง,74,31,316,12,160,121,116,331,22,9,6,754,250,0,0,173,1
เทศบาลตำบลท่าตะโก,14,0,0,0,0,18,0,14,0,12,0,39,0,0,0,0,0
เทศบาลตำบลท่าตูม,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
เทศบาลตำบลท่าทองใหม่,0,4,69,2,0,7,0,10,0,0,0,20,0,1,0,0,0
เทศบาลตำบลท่าน้ำอ้อยม่วงหัก,54,5,8,6,0,79,1,68,9,40,4,68,1,0,0,0,0
เทศบาลตำบลท่าพล,4,1,2,1,2,2,0,1,1,2,0,43,8,0,0,0,0
เทศบาลตำบลท่าพุทรา,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
เทศบาลตำบลท่ามะเดื่อ,14,11,18,11,0,22,23,10,36,2,2,16,76,0,0,4,0
เทศบาลตำบลท่ายาง,9,23,137,16,14,127,30,77,26,52,102,766,504,0,0,0,1
เทศบาลตำบลท่าลาน,89,23,66,20,0,58,55,86,83,65,6,217,182,0,0,1,1
เทศบาลตำบลท่าลี่,2,0,0,0,0,3,0,5,0,0,0,5,0,0,0,0,0
เทศบาลตำบลท่าวังทอง,49,10,64,8,12,67,2,102,11,11,5,172,27,0,0,0,0
เทศบาลตำบลท่าวังผา,13,14,7,16,0,59,0,25,15,15,3,76,67,0,0,3,26
เทศบาลตำบลท่าวุ้ง,1,0,0,0,0,5,0,6,0,0,0,13,8,0,0,0,0
เทศบาลตำบลท่าศาลา,63,26,31,30,2,53,2,54,12,8,5,224,59,0,0,5,0
เทศบาลตำบลท่าสะอาด,6,2,20,3,9,37,13,59,3,6,2,69,10,0,0,1,0
เทศบาลตำบลท่าสะอ้าน,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0
เทศบาลตำบลท่าสัก,1,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0
เทศบาลตำบลท่าสายลวด,5,2,1,2,0,23,0,4,0,0,0,17,11,0,0,1,6
เทศบาลตำบลท่าหลวง,3,6,0,2,0,9,0,8,1,0,0,5,18,0,0,0,0
เทศบาลตำบลท่าฬ่อ,47,12,27,9,31,122,2,59,61,4,19,200,90,0,0,3,0
เทศบาลตำบลท่าอุเทน,5,3,19,2,0,1,0,1,1,2,5,51,13,0,0,0,0
เทศบาลตำบลท่าเกษม,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
เทศบาลตำบลท่าเดื่อ-มืดกา,2,2,5,1,0,0,7,3,5,8,9,92,67,0,0,0,0
เทศบาลตำบลท่าเรือ,5,3,0,3,0,4,0,0,2,0,0,17,15,0,0,0,0
เทศบาลตำบลท่าเสา,67,22,51,25,0,44,2,111,14,12,1,216,31,0,0,3,0
เทศบาลตำบลท่าแซะ,0,0,0,0,0,7,0,0,0,0,2,20,3,0,0,0,0
เทศบาลตำบลท่าแร่,2,1,5,1,1,3,11,14,5,9,1,20,18,0,0,3,0
เทศบาลตำบลท่าแลง,1,1,48,1,3,5,0,11,2,9,21,48,22,0,0,0,0
เทศบาลตำบลท่าโขลง,4,1,2,1,0,1,0,1,3,1,0,1,4,0,0,0,0
เทศบาลตำบลท้องเนียน,0,0,16,0,2,6,0,0,0,0,0,36,0,0,0,0,0
เทศบาลตำบลท้ายดง,0,2,0,3,0,3,0,2,3,1,0,7,2,0,0,0,0
เทศบาลตำบลท้ายเหมือง,0,4,0,3,0,2,0,0,0,4,1,3,2,0,0,0,0
เทศบาลตำบลธงธานี,1,4,0,4,0,14,8,17,9,7,2,56,22,0,0,1,0
เทศบาลตำบลธรรมศาลา,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
เทศบาลตำบลธัญญา,0,0,4,0,1,0,0,19,2,0,0,23,24,0,0,0,0
เทศบาลตำบลธัญบุรี,198,242,175,165,10,247,55,234,341,168,29,774,445,4,0,75,2
เทศบาลตำบลธาตุ,11,8,11,6,6,32,3,97,4,4,3,113,16,0,0,0,0
เทศบาลตำบลธาตุทอง,1,0,1,0,0,1,0,0,2,0,0,2,7,0,0,0,0
เทศบาลตำบลธาตุพนม,0,0,0,0,3,1,0,0,0,0,0,5,0,0,0,0,0
เทศบาลตำบลนครชัยศรี,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
เทศบาลตำบลนครชุม,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
เทศบาลตำบลนครหลวง,17,5,9,4,2,48,0,21,6,2,0,48,21,0,0,0,2
เทศบาลตำบลนครไทย,6,46,0,36,1,241,0,199,12,8,0,312,91,0,0,6,0
เทศบาลตำบลนาขาม,26,21,223,21,3,81,11,141,37,20,10,668,242,0,0,4,0
เทศบาลตำบลนาคู,11,7,50,6,0,19,0,30,6,7,3,85,59,0,0,0,1
เทศบาลตำบลนางลือ,24,4,6,4,2,29,8,161,67,4,0,140,10,0,0,35,0
เทศบาลตำบลนางั่ว,18,35,10,45,18,62,0,45,50,8,28,276,160,0,0,1,0
เทศบาลตำบลนางแล,1,0,21,0,1,9,0,21,5,1,5,70,38,0,0,0,0
เทศบาลตำบลนาจะหลวย,0,0,7,0,0,0,0,0,32,43,1,105,7,0,0,118,0
เทศบาลตำบลนาจารย์,3,5,155,8,1,12,1,12,70,11,3,464,33,0,0,0,0
เทศบาลตำบลนาดอกคำ,0,0,0,4,0,6,0,10,0,0,0,18,3,0,0,0,0
เทศบาลตำบลนาดินดำ,1,0,6,0,4,22,3,48,6,1,1,56,5,0,0,0,0
เทศบาลตำบลนาดี,1,2,42,3,2,3,7,19,19,4,16,39,26,0,0,8,0
เทศบาลตำบลนาดูน,0,1,4,0,0,0,75,0,29,0,0,58,105,0,0,0,0
เทศบาลตำบลนาด้วง,0,0,10,0,0,0,0,3,0,0,2,7,0,0,0,0,1
เทศบาลตำบลนาทวี,2,2,8,8,11,1,0,2,2,1,0,22,12,0,0,0,0
เทศบาลตำบลนาทัน,22,10,27,14,0,14,0,28,5,6,7,211,97,0,0,0,0
เทศบาลตำบลนาน้อย,0,1,0,1,0,0,0,0,0,2,0,3,3,0,0,0,0
เทศบาลตำบลนาบอน,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
เทศบาลตำบลนาประดู่,1,0,4,0,0,0,0,5,2,0,0,5,0,0,0,0,0
เทศบาลตำบลนาป่า,0,0,1,0,0,0,1,4,3,2,0,3,1,0,0,1,1
เทศบาลตำบลนามน,1,2,4,3,0,24,7,44,6,0,11,181,73,0,0,0,0
เทศบาลตำบลนายม,0,0,0,0,0,0,0,0,19,5,31,244,106,0,0,0,0
เทศบาลตำบลนายาง,23,6,74,6,24,61,2,84,0,24,24,199,110,0,0,0,0
เทศบาลตำบลนาส่วง,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
เทศบาลตำบลนาหว้า,0,0,1,0,0,0,0,1,0,0,0,6,2,0,0,0,0
เทศบาลตำบลนาอาน,1,1,31,2,13,23,12,83,1,2,18,108,38,0,0,0,0
เทศบาลตำบลนาอ้อ,2,3,5,2,2,19,3,49,1,0,0,66,5,0,0,0,0
เทศบาลตำบลนาเฉลียง,8,11,7,15,2,39,0,32,21,8,4,170,47,0,0,0,0
เทศบาลตำบลนาเชือก,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
เทศบาลตำบลนาเยีย,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0
เทศบาลตำบลนาแก,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
เทศบาลตำบลนาแก้ว,46,4,66,3,9,63,3,15,11,1,4,130,122,0,0,3,0
เทศบาลตำบลนาโป่ง,0,2,2,2,2,20,2,37,0,0,1,35,23,0,0,0,0
เทศบาลตำบลนาโพธิ์,1,6,1,6,0,72,32,8,2,4,7,137,36,0,0,0,2
เทศบาลตำบลนาโยงเหนือ,0,4,1,3,0,2,0,4,0,0,0,6,2,0,0,0,0
เทศบาลตำบลนิคมคำสร้อย,2,20,109,18,1,92,27,238,1,1,1,282,70,0,0,0,0
เทศบาลตำบลนิคมทุ่งโพธิ์ทะเล,104,48,112,42,32,116,114,199,132,45,45,647,388,0,0,60,0
เทศบาลตำบลนิคมปราสาท,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
เทศบาลตำบลนิเวศน์,0,3,0,2,0,9,0,5,2,3,0,40,27,0,0,0,1
เทศบาลตำบลน้ำคำ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
เทศบาลตำบลน้ำจืด,0,0,0,0,0,1,0,2,1,0,0,2,1,0,0,1,0
เทศบาลตำบลน้ำน้อย,6,30,478,32,0,19,0,116,34,1,3,47,711,0,0,216,0
เทศบาลตำบลน้ำปลีก,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0
เทศบาลตำบลน้ำปาด,0,0,1,0,0,0,0,2,0,0,0,6,0,0,0,0,0
เทศบาลตำบลน้ำยืน,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
เทศบาลตำบลน้ำริด,9,15,40,17,0,33,2,19,3,8,0,110,31,0,0,5,0
เทศบาลตำบลน้ำสวย,8,1,2,1,1,18,4,12,0,1,0,21,3,0,0,0,2
เทศบาลตำบลน้ำโจ้,19,15,19,13,3,26,0,15,11,18,23,177,171,0,0,1,0
เทศบาลตำบลบงใต้,4,3,210,3,1,19,2,90,31,9,21,102,222,0,0,2,5
เทศบาลตำบลบรบือ,0,0,1,0,0,0,3,0,0,0,0,19,20,0,0,0,0
เทศบาลตำบลบวกค้าง,0,0,51,0,1,5,2,10,23,2,3,101,84,0,0,4,1
เทศบาลตำบลบัวงาม,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
เทศบาลตำบลบัวบาน,22,14,480,16,0,48,3,40,114,30,8,685,177,0,0,0,0
เทศบาลตำบลบัววัฒนา,9,10,2,14,0,28,0,11,16,12,0,48,18,0,0,0,0
เทศบาลตำบลบางกระทึก,0,0,18,0,0,0,0,0,1,0,0,32,0,0,0,0,0
เทศบาลตำบลบางกระทุ่ม,1,0,1,1,0,5,0,29,1,0,0,15,61,0,0,0,0
เทศบาลตำบลบางกระสั้น,4,4,27,4,0,37,0,52,8,2,0,62,118,0,0,2,0
เทศบาลตำบลบางกะจะ,2,0,0,2,0,4,0,4,0,0,0,12,9,0,0,0,0
เทศบาลตำบลบางขนาก,0,0,0,0,0,0,0,0,0,0,0,15,16,0,0,2,0
เทศบาลตำบลบางคล้า,0,0,4,0,0,0,0,0,3,9,2,55,57,0,0,5,0
เทศบาลตำบลบางจัก,13,2,1,2,0,4,0,1,0,1,0,11,3,0,0,2,0
เทศบาลตำบลบางจาก,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
เทศบาลตำบลบางซ้าย,14,3,30,1,0,28,0,29,9,6,4,56,35,0,0,0,0
เทศบาลตำบลบางตะบูน,11,3,1,1,0,11,0,3,2,3,1,13,25,0,0,0,0
เทศบาลตำบลบางนกแขวก,0,1,4,1,0,2,0,0,0,2,0,6,13,0,0,0,0
เทศบาลตำบลบางนมโค,21,10,2,9,0,13,2,17,1,2,0,23,18,0,0,0,0
เทศบาลตำบลบางน้ำเชี่ยว,61,4,4,5,0,25,7,16,11,16,3,58,45,0,0,1,0
เทศบาลตำบลบางน้ำเปรี้ยว,0,0,5,0,0,0,0,0,0,0,0,5,10,0,0,0,0
เทศบาลตำบลบางบาล,18,2,18,1,2,20,3,19,7,3,8,41,41,0,0,0,2
เทศบาลตำบลบางบ่อ,0,0,4,0,0,0,0,9,4,0,1,5,19,0,0,0,0
เทศบาลตำบลบางประมุง,8,4,54,4,1,45,0,10,5,23,6,101,14,0,0,0,0
เทศบาลตำบลบางปลา,0,1,0,1,0,0,0,2,2,0,2,3,0,0,0,0,0
เทศบาลตำบลบางปะกง,0,0,0,0,0,0,0,0,0,0,0,29,50,0,0,0,0
เทศบาลตำบลบางปะหัน,11,3,92,3,0,20,0,44,6,5,1,27,50,0,0,0,3
เทศบาลตำบลบางปะอิน,17,4,0,4,0,6,0,0,1,0,1,9,22,0,0,0,0
เทศบาลตำบลบางปู,50,23,890,13,22,61,36,144,446,16,50,736,1123,0,0,28,6
เทศบาลตำบลบางพลับ,82,10,55,11,15,87,23,30,59,6,0,261,161,0,0,112,0
เทศบาลตำบลบางพลี,0,0,32,0,0,0,0,2,15,0,2,25,28,0,0,0,0
เทศบาลตำบลบางพูน,180,86,39,47,2,113,11,184,137,116,7,437,218,0,0,67,0
เทศบาลตำบลบางม่วง,3,0,1,0,1,4,0,2,6,0,0,9,1,0,0,2,0
เทศบาลตำบลบางระกำ,30,6,1,6,0,28,0,33,1,1,0,4,1,0,0,0,0
เทศบาลตำบลบางละมุง,0,0,3,0,0,2,0,1,2,0,0,41,4,0,0,0,0
เทศบาลตำบลบางวัว,0,0,0,0,0,0,0,0,0,0,0,23,28,0,0,0,0
เทศบาลตำบลบางวัวคณารักษ์,0,0,0,0,0,0,0,0,0,0,0,31,80,0,0,1,0
เทศบาลตำบลบางสวรรค์,0,3,1,3,0,11,1,3,0,1,0,43,31,0,0,0,0
เทศบาลตำบลบางสะพานน้อย,1,2,8,2,0,4,2,3,2,7,0,31,0,0,0,0,0
เทศบาลตำบลบางหลวง,28,11,1,3,0,16,9,12,26,19,0,98,31,0,0,14,3
เทศบาลตำบลบางเตย,7,5,10,4,0,7,1,3,8,7,0,22,15,0,0,1,0
เทศบาลตำบลบางเมือง,51,27,284,26,0,48,0,33,368,19,23,570,618,0,0,322,0
เทศบาลตำบลบางเสร่,2,0,0,0,0,0,0,0,3,1,0,3,1,0,0,0,0
เทศบาลตำบลบางเสาธง,0,1,0,0,2,0,4,2,1,0,0,13,5,0,0,0,0
เทศบาลตำบลบางแก้ว,3,9,4,10,0,21,35,2,13,0,0,13,153,0,0,0,0
เทศบาลตำบลบางใหญ่,7,2,6,0,1,11,1,15,28,3,5,50,18,0,0,17,11
เทศบาลตำบลบางไทร,47,12,102,11,1,34,5,26,7,8,17,54,89,0,0,4,0
เทศบาลตำบลบางไผ่,1,4,5,3,1,12,1,5,11,2,1,23,21,0,0,0,0
เทศบาลตำบลบำเหน็จณรงค์,0,0,11,0,1,1,0,5,0,0,0,9,0,0,0,0,0
เทศบาลตำบลบึงบูรพ์,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
เทศบาลตำบลบึงระมาณ,21,4,0,2,0,11,0,0,2,0,0,0,6,0,0,0,0
เทศบาลตำบลบึงโขงหลง,7,9,51,15,2,32,1,77,8,2,8,92,19,0,0,1,0
เทศบาลตำบลบุญเรือง,5,9,3,11,0,17,0,32,5,11,1,119,36,0,0,0,0
เทศบาลตำบลบุณฑริก,0,1,2,0,1,0,2,3,3,0,0,22,3,0,0,2,0
เทศบาลตำบลบุสูง,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
เทศบาลตำบลบ่อตรุ,2,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,1
เทศบาลตำบลบ่อทอง,15,3,52,1,2,14,7,37,63,3,0,170,64,0,0,1,0
เทศบาลตำบลบ่อพลอย,5,0,0,0,0,1,0,4,0,0,0,5,2,0,0,0,0
เทศบาลตำบลบ่อพลับ,0,1,7,1,0,2,0,0,8,0,0,15,2,0,0,0,0
เทศบาลตำบลบ่อหลวง,0,8,117,8,3,7,6,52,38,7,4,205,134,0,0,0,1
เทศบาลตำบลบ่อเวฬุ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
เทศบาลตำบลบ่อแฮ้ว,45,10,21,6,0,29,6,7,0,18,0,35,63,0,0,0,0
เทศบาลตำบลบ่อไทย,24,15,19,16,3,70,1,67,36,39,5,352,156,0,0,0,0
เทศบาลตำบลบ้านกรูด,1,0,20,0,0,4,0,36,12,1,3,78,11,0,0,0,0
เทศบาลตำบลบ้านกลาง,58,69,170,47,4,108,4,80,35,59,34,441,274,0,0,29,3
เทศบาลตำบลบ้านกล้วย,91,48,151,40,16,179,17,112,109,48,12,330,301,0,0,5,0
เทศบาลตำบลบ้านค่าย,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
เทศบาลตำบลบ้านค่ายหมื่นแผ้ว,0,0,11,1,1,1,0,1,0,0,0,5,0,0,0,0,0
เทศบาลตำบลบ้านฉาง,1,0,2,0,0,0,0,1,2,1,0,54,9,0,0,2,0
เทศบาลตำบลบ้านดู่,1,0,21,0,0,1,0,8,0,1,0,49,12,0,0,0,0
เทศบาลตำบลบ้านด่าน,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0
เทศบาลตำบลบ้านด่านนาขาม,4,1,4,1,0,8,0,2,0,1,0,23,0,0,0,0,0
เทศบาลตำบลบ้านด่านโขงเจียม,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
เทศบาลตำบลบ้านตาก,39,29,55,27,49,114,3,194,32,15,22,289,66,0,0,11,0
เทศบาลตำบลบ้านตาขุน,0,2,1,1,0,16,0,9,0,1,0,30,0,0,0,0,0
เทศบาลตำบลบ้านต๊ำ,71,38,42,21,2,95,1,66,32,16,2,131,30,0,0,3,0
เทศบาลตำบลบ้านต๋อม,33,14,121,14,7,104,2,118,19,10,17,127,74,0,0,1,0
เทศบาลตำบลบ้านถ้ำ,36,37,18,26,1,82,3,84,10,11,11,110,28,0,0,1,1
เทศบาลตำบลบ้านท่าหลวง,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1
เทศบาลตำบลบ้านธิ,42,58,111,57,17,130,29,129,51,42,56,483,341,0,0,0,0
เทศบาลตำบลบ้านนา,116,39,127,33,5,259,56,155,87,29,21,679,265,0,0,43,0
เทศบาลตำบลบ้านนาปรือ,4,0,0,0,0,4,0,0,0,0,0,2,2,0,0,0,0
เทศบาลตำบลบ้านนิเวศน์,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
เทศบาลตำบลบ้านปลวกแดง,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0
